0.381805,512,1341
0.439577,582,1324
0.285244,433,1518
0.515665,609,1181
0.376963,504,1337
0.588841,686,1165
0.501976,635,1265
0.425954,558,1310
0.390076,511,1310
0.34589,505,1460
0,0,1
0.57,684,1200
0.371262,509,1371
0,0,1
0.508972,624,1226
0.48539,598,1232
0.570711,682,1195
0.434022,273,629
0.429955,577,1342
0.599832,715,1192
0.338362,471,1392
0.215243,257,1194
0.466912,381,816
0.102646,128,1247
0.507329,623,1228
0.482456,605,1254
0.540146,666,1233
0.584641,708,1211
0.424424,424,999
0.452609,425,939
0.505213,630,1247
0,0,1
0.441699,572,1295
0.451689,575,1273
0.404526,572,1414
0.416268,87,209
0.190972,55,288
0.632107,567,897
0.65812,154,234
0.476586,631,1324
0.300676,445,1480
0.519851,419,806
0.364613,509,1396
0.300176,341,1136
0.329718,456,1383
0.524725,573,1092
0.346209,242,699
0.363284,469,1291
0.467577,137,293
0.495283,315,636
